agent_run_id,analysis_version,agent_name,objective_id,iteration,stop_reason,tokens,cost,started_at,ended_at
run_demo_backend_stats,an_demo_backend,stats,obj_backend_statistics,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_backend_knowledge,an_demo_backend,knowledge,obj_backend_knowledge,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_backend_interpretation,an_demo_backend,interpretation,obj_backend_interpretation,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_backend_strategy,an_demo_backend,strategy,obj_backend_strategy,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_backend_roadmap,an_demo_backend,roadmap,obj_backend_roadmap,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_backend_aggregation,an_demo_backend,aggregation,obj_backend_aggregation,1,no_new_evidence,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_frontend_stats,an_demo_frontend,stats,obj_frontend_statistics,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_frontend_knowledge,an_demo_frontend,knowledge,obj_frontend_knowledge,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_frontend_interpretation,an_demo_frontend,interpretation,obj_frontend_interpretation,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_frontend_strategy,an_demo_frontend,strategy,obj_frontend_strategy,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_frontend_roadmap,an_demo_frontend,roadmap,obj_frontend_roadmap,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_frontend_aggregation,an_demo_frontend,aggregation,obj_frontend_aggregation,1,no_new_evidence,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_ai_engineer_stats,an_demo_ai_engineer,stats,obj_ai_engineer_statistics,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_ai_engineer_knowledge,an_demo_ai_engineer,knowledge,obj_ai_engineer_knowledge,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_ai_engineer_interpretation,an_demo_ai_engineer,interpretation,obj_ai_engineer_interpretation,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_ai_engineer_strategy,an_demo_ai_engineer,strategy,obj_ai_engineer_strategy,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_ai_engineer_roadmap,an_demo_ai_engineer,roadmap,obj_ai_engineer_roadmap,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_ai_engineer_aggregation,an_demo_ai_engineer,aggregation,obj_ai_engineer_aggregation,1,no_new_evidence,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_data_engineer_stats,an_demo_data_engineer,stats,obj_data_engineer_statistics,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_data_engineer_knowledge,an_demo_data_engineer,knowledge,obj_data_engineer_knowledge,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_data_engineer_interpretation,an_demo_data_engineer,interpretation,obj_data_engineer_interpretation,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_data_engineer_strategy,an_demo_data_engineer,strategy,obj_data_engineer_strategy,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_data_engineer_roadmap,an_demo_data_engineer,roadmap,obj_data_engineer_roadmap,1,slots_filled,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_data_engineer_aggregation,an_demo_data_engineer,aggregation,obj_data_engineer_aggregation,1,no_new_evidence,0,0.0000,2026-07-27T09:00:00+09:00,2026-07-27T09:00:00+09:00
run_demo_fullstack_stats,an_demo_fullstack,stats,obj_fullstack_stats,1,slots_filled,0,0.0000,2026-07-01T08:00:00+09:00,2026-07-01T09:00:00+09:00
run_demo_fullstack_knowledge,an_demo_fullstack,knowledge,obj_fullstack_knowledge,1,slots_filled,0,0.0000,2026-07-01T08:00:00+09:00,2026-07-01T09:00:00+09:00
run_demo_fullstack_interpretation,an_demo_fullstack,interpretation,obj_fullstack_interpretation,1,slots_filled,0,0.0000,2026-07-01T08:00:00+09:00,2026-07-01T09:00:00+09:00
