posting_id,source_id,company_id,job_role_id,first_posted_at
dp_backend_01,src_demo_backend_01,co_viva,backend,2026-03-02T10:00:00+09:00
dp_backend_02,src_demo_backend_02,co_kakao,backend,2026-01-12T10:00:00+09:00
dp_backend_03,src_demo_backend_03,co_channelcorp,backend,2026-02-17T10:00:00+09:00
dp_backend_04,src_demo_backend_04,co_daangn,backend,2026-04-21T10:00:00+09:00
dp_backend_05,src_demo_backend_05,co_krafton,backend,2026-05-11T10:00:00+09:00
dp_backend_06,src_demo_backend_06,co_samsungsds,backend,2026-01-26T10:00:00+09:00
dp_backend_07,src_demo_backend_07,co_kakaopay,backend,2026-02-09T10:00:00+09:00
dp_backend_08,src_demo_backend_08,co_woowahan,backend,2026-04-06T10:00:00+09:00
dp_backend_09,src_demo_backend_09,co_bucketplace,backend,2026-06-08T10:00:00+09:00
dp_backend_10,src_demo_backend_10,co_naver,backend,2024-04-15T10:00:00+09:00
dp_backend_11,src_demo_backend_11,co_daangn,backend,2024-08-19T10:00:00+09:00
dp_backend_12,src_demo_backend_12,co_channelcorp,backend,2025-01-20T10:00:00+09:00
dp_backend_13,src_demo_backend_13,co_kakaopay,backend,2025-04-07T10:00:00+09:00
dp_backend_14,src_demo_backend_14,co_samsungsds,backend,2025-07-14T10:00:00+09:00
dp_backend_15,src_demo_backend_15,co_krafton,backend,2025-10-13T10:00:00+09:00
dp_frontend_01,src_demo_frontend_01,co_naver,frontend,2026-03-02T10:00:00+09:00
dp_frontend_02,src_demo_frontend_02,co_viva,frontend,2026-01-12T10:00:00+09:00
dp_frontend_03,src_demo_frontend_03,co_daangn,frontend,2026-02-16T10:00:00+09:00
dp_frontend_04,src_demo_frontend_04,co_channelcorp,frontend,2026-04-14T10:00:00+09:00
dp_frontend_05,src_demo_frontend_05,co_lgcns,frontend,2026-05-26T10:00:00+09:00
dp_frontend_06,src_demo_frontend_06,co_kakao,frontend,2026-03-10T10:00:00+09:00
dp_frontend_07,src_demo_frontend_07,co_kakaopay,frontend,2026-01-05T10:00:00+09:00
dp_frontend_08,src_demo_frontend_08,co_ncsoft,frontend,2026-04-18T10:00:00+09:00
dp_frontend_09,src_demo_frontend_09,co_sendbird,frontend,2026-02-20T10:00:00+09:00
dp_frontend_10,src_demo_frontend_10,co_naver,frontend,2024-03-18T10:00:00+09:00
dp_frontend_11,src_demo_frontend_11,co_daangn,frontend,2024-07-08T10:00:00+09:00
dp_frontend_12,src_demo_frontend_12,co_channelcorp,frontend,2024-11-12T10:00:00+09:00
dp_frontend_13,src_demo_frontend_13,co_viva,frontend,2025-03-17T10:00:00+09:00
dp_frontend_14,src_demo_frontend_14,co_lgcns,frontend,2025-07-07T10:00:00+09:00
dp_frontend_15,src_demo_frontend_15,co_ncsoft,frontend,2025-11-03T10:00:00+09:00
