taxonomy_version_id,dimension_id,metric_family,applicable,reason
tx_demo_backend,dim_backend_java-spring,posting_prevalence,true,\N
tx_demo_backend,dim_backend_java-spring,requiredness_ratio,true,\N
tx_demo_backend,dim_backend_java-spring,depth_distribution,true,\N
tx_demo_backend,dim_backend_java-spring,cluster_contrast,true,\N
tx_demo_backend,dim_backend_java-spring,cooccurrence,true,\N
tx_demo_backend,dim_backend_java-spring,scope_expansion,false,역할 경계 차원이 아니다
tx_demo_backend,dim_backend_java-spring,entry_label_advanced_signal_rate,false,차원을 입력으로 받지 않는 범위 지표다
tx_demo_backend,dim_backend_rdb-modeling,posting_prevalence,true,\N
tx_demo_backend,dim_backend_rdb-modeling,requiredness_ratio,true,\N
tx_demo_backend,dim_backend_rdb-modeling,depth_distribution,true,\N
tx_demo_backend,dim_backend_rdb-modeling,cluster_contrast,true,\N
tx_demo_backend,dim_backend_rdb-modeling,cooccurrence,true,\N
tx_demo_backend,dim_backend_rdb-modeling,scope_expansion,false,역할 경계 차원이 아니다
tx_demo_backend,dim_backend_rdb-modeling,entry_label_advanced_signal_rate,false,차원을 입력으로 받지 않는 범위 지표다
tx_demo_backend,dim_backend_caching-performance,posting_prevalence,true,\N
tx_demo_backend,dim_backend_caching-performance,requiredness_ratio,true,\N
tx_demo_backend,dim_backend_caching-performance,depth_distribution,true,\N
tx_demo_backend,dim_backend_caching-performance,cluster_contrast,true,\N
tx_demo_backend,dim_backend_caching-performance,cooccurrence,true,\N
tx_demo_backend,dim_backend_caching-performance,scope_expansion,false,역할 경계 차원이 아니다
tx_demo_backend,dim_backend_caching-performance,entry_label_advanced_signal_rate,false,차원을 입력으로 받지 않는 범위 지표다
tx_demo_backend,dim_backend_message-queue,posting_prevalence,true,\N
tx_demo_backend,dim_backend_message-queue,requiredness_ratio,true,\N
tx_demo_backend,dim_backend_message-queue,depth_distribution,true,\N
tx_demo_backend,dim_backend_message-queue,cluster_contrast,true,\N
tx_demo_backend,dim_backend_message-queue,cooccurrence,true,\N
