revision_id,field_name,chunk_id,source_tier
wr_demo_backend_api-implementation_1,why_required,chunk_demo_backend_01_1,A
wr_demo_backend_api-implementation_1,why_required,chunk_demo_backend_01_2,A
wr_demo_backend_api-implementation_1,depth_criteria,chunk_demo_backend_01_1,A
wr_demo_backend_api-implementation_1,depth_criteria,chunk_demo_backend_01_2,A
wr_demo_backend_api-implementation_1,interview_verification,chunk_demo_backend_01_1,A
wr_demo_backend_api-implementation_1,interview_verification,chunk_demo_backend_01_2,A
wr_demo_backend_data-modeling_1,why_required,chunk_demo_backend_01_1,A
wr_demo_backend_data-modeling_1,why_required,chunk_demo_backend_01_2,A
wr_demo_backend_data-modeling_1,depth_criteria,chunk_demo_backend_01_1,A
wr_demo_backend_data-modeling_1,depth_criteria,chunk_demo_backend_01_2,A
wr_demo_backend_data-modeling_1,interview_verification,chunk_demo_backend_01_1,A
wr_demo_backend_data-modeling_1,interview_verification,chunk_demo_backend_01_2,A
wr_demo_backend_transaction-consistency_1,why_required,chunk_demo_backend_01_2,A
wr_demo_backend_transaction-consistency_1,why_required,chunk_demo_backend_02_2,A
wr_demo_backend_transaction-consistency_1,depth_criteria,chunk_demo_backend_01_2,A
wr_demo_backend_transaction-consistency_1,depth_criteria,chunk_demo_backend_02_2,A
wr_demo_backend_transaction-consistency_1,interview_verification,chunk_demo_backend_01_2,A
wr_demo_backend_transaction-consistency_1,interview_verification,chunk_demo_backend_02_2,A
wr_demo_backend_performance-scaling_1,why_required,chunk_demo_backend_01_3,A
wr_demo_backend_performance-scaling_1,why_required,chunk_demo_backend_02_1,A
wr_demo_backend_performance-scaling_1,depth_criteria,chunk_demo_backend_01_3,A
wr_demo_backend_performance-scaling_1,depth_criteria,chunk_demo_backend_02_1,A
wr_demo_backend_performance-scaling_1,interview_verification,chunk_demo_backend_01_3,A
wr_demo_backend_performance-scaling_1,interview_verification,chunk_demo_backend_02_1,A
wr_demo_backend_operability_1,why_required,chunk_demo_backend_01_1,A
wr_demo_backend_operability_1,why_required,chunk_demo_backend_01_3,A
wr_demo_backend_operability_1,depth_criteria,chunk_demo_backend_01_1,A
wr_demo_backend_operability_1,depth_criteria,chunk_demo_backend_01_3,A
wr_demo_backend_operability_1,interview_verification,chunk_demo_backend_01_1,A
wr_demo_backend_operability_1,interview_verification,chunk_demo_backend_01_3,A
wr_demo_backend_collaboration-quality_1,why_required,chunk_demo_backend_01_1,A
wr_demo_backend_collaboration-quality_1,why_required,chunk_demo_backend_01_2,A
wr_demo_backend_collaboration-quality_1,depth_criteria,chunk_demo_backend_01_1,A
wr_demo_backend_collaboration-quality_1,depth_criteria,chunk_demo_backend_01_2,A
wr_demo_backend_collaboration-quality_1,interview_verification,chunk_demo_backend_01_1,A
wr_demo_backend_collaboration-quality_1,interview_verification,chunk_demo_backend_01_2,A
wr_demo_frontend_ui-implementation_1,why_required,chunk_demo_frontend_01_1,A
wr_demo_frontend_ui-implementation_1,why_required,chunk_demo_frontend_01_2,A
wr_demo_frontend_ui-implementation_1,depth_criteria,chunk_demo_frontend_01_1,A
wr_demo_frontend_ui-implementation_1,depth_criteria,chunk_demo_frontend_01_2,A
wr_demo_frontend_ui-implementation_1,interview_verification,chunk_demo_frontend_01_1,A
wr_demo_frontend_ui-implementation_1,interview_verification,chunk_demo_frontend_01_2,A
wr_demo_frontend_state-data-flow_1,why_required,chunk_demo_frontend_01_2,A
wr_demo_frontend_state-data-flow_1,why_required,chunk_demo_frontend_02_1,A
wr_demo_frontend_state-data-flow_1,depth_criteria,chunk_demo_frontend_01_2,A
wr_demo_frontend_state-data-flow_1,depth_criteria,chunk_demo_frontend_02_1,A
wr_demo_frontend_state-data-flow_1,interview_verification,chunk_demo_frontend_01_2,A
wr_demo_frontend_state-data-flow_1,interview_verification,chunk_demo_frontend_02_1,A
wr_demo_frontend_experience-quality_1,why_required,chunk_demo_frontend_01_1,A
wr_demo_frontend_experience-quality_1,why_required,chunk_demo_frontend_01_2,A
wr_demo_frontend_experience-quality_1,depth_criteria,chunk_demo_frontend_01_1,A
wr_demo_frontend_experience-quality_1,depth_criteria,chunk_demo_frontend_01_2,A
wr_demo_frontend_experience-quality_1,interview_verification,chunk_demo_frontend_01_1,A
wr_demo_frontend_experience-quality_1,interview_verification,chunk_demo_frontend_01_2,A
wr_demo_frontend_frontend-engineering_1,why_required,chunk_demo_frontend_01_3,A
wr_demo_frontend_frontend-engineering_1,why_required,chunk_demo_frontend_02_3,A
wr_demo_frontend_frontend-engineering_1,depth_criteria,chunk_demo_frontend_01_3,A
wr_demo_frontend_frontend-engineering_1,depth_criteria,chunk_demo_frontend_02_3,A
wr_demo_frontend_frontend-engineering_1,interview_verification,chunk_demo_frontend_01_3,A
wr_demo_frontend_frontend-engineering_1,interview_verification,chunk_demo_frontend_02_3,A
wr_demo_ai_engineer_model-training_1,why_required,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_model-training_1,why_required,chunk_demo_ai_engineer_01_2,A
wr_demo_ai_engineer_model-training_1,depth_criteria,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_model-training_1,depth_criteria,chunk_demo_ai_engineer_01_2,A
wr_demo_ai_engineer_model-training_1,interview_verification,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_model-training_1,interview_verification,chunk_demo_ai_engineer_01_2,A
wr_demo_ai_engineer_serving-ops_1,why_required,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_serving-ops_1,why_required,chunk_demo_ai_engineer_01_2,A
wr_demo_ai_engineer_serving-ops_1,depth_criteria,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_serving-ops_1,depth_criteria,chunk_demo_ai_engineer_01_2,A
wr_demo_ai_engineer_serving-ops_1,interview_verification,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_serving-ops_1,interview_verification,chunk_demo_ai_engineer_01_2,A
wr_demo_ai_engineer_llm-application_1,why_required,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_llm-application_1,why_required,chunk_demo_ai_engineer_01_3,A
wr_demo_ai_engineer_llm-application_1,depth_criteria,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_llm-application_1,depth_criteria,chunk_demo_ai_engineer_01_3,A
wr_demo_ai_engineer_llm-application_1,interview_verification,chunk_demo_ai_engineer_01_1,A
wr_demo_ai_engineer_llm-application_1,interview_verification,chunk_demo_ai_engineer_01_3,A
wr_demo_data_engineer_data-modeling_1,why_required,chunk_demo_data_engineer_01_2,A
wr_demo_data_engineer_data-modeling_1,why_required,chunk_demo_data_engineer_01_3,A
wr_demo_data_engineer_data-modeling_1,depth_criteria,chunk_demo_data_engineer_01_2,A
wr_demo_data_engineer_data-modeling_1,depth_criteria,chunk_demo_data_engineer_01_3,A
wr_demo_data_engineer_data-modeling_1,interview_verification,chunk_demo_data_engineer_01_2,A
wr_demo_data_engineer_data-modeling_1,interview_verification,chunk_demo_data_engineer_01_3,A
wr_demo_data_engineer_pipeline-engineering_1,why_required,chunk_demo_data_engineer_01_2,A
